Codigo,Acao,Setor,ico2
WEGE3.SA,WEG,Bens Indls / Maqs e Equips,1
EMBR3.SA,EMBRAER,Bens Indls / Mat Transporte,1
AZUL4.SA,AZUL,Bens Indls/Transporte,1
CCRO3.SA,CCR SA,Bens Indls/Transporte,1
GOLL4.SA,GOL,Bens Indls/Transporte,1
RAIL3.SA,RUMO S.A.,Bens Indls/Transporte,1
BRFS3.SA,BRF SA,Cons N  Basico / Alimentos Processados,1
JBSS3.SA,JBS,Cons N  Basico / Alimentos Processados,1
MRFG3.SA,MARFRIG,Cons N  Basico / Alimentos Processados,1
BEEF3.SA,MINERVA,Cons N  Basico / Alimentos Processados,1
SMTO3.SA,SAO MARTINHO,Cons N  Basico / Alimentos Processados,1
ABEV3.SA,AMBEV S/A,Cons N Ciclico / Bebidas,1
ASAI3.SA,ASSAI,Cons N Ciclico / Comercio Distr.,1
CRFB3.SA,CARREFOUR BR,Cons N Ciclico / Comercio Distr.,0
PCAR3.SA,P.ACUCAR-CBD,Cons N Ciclico / Comercio Distr.,1
NTCO3.SA,GRUPO NATURA,Cons N Ciclico / Pr Pessoal Limp,1
RAIZ4.SA,RAIZEN,Cons N Ciclico/Agropecuaria,1
SLCE3.SA,SLC AGRICOLA,Cons N Ciclico/Agropecuaria,1
ARZZ3.SA,AREZZO CO,Consumo Ciclico / Comercio,1
BHIA3.SA,CASAS BAHIA,Consumo Ciclico / Comercio,1
SOMA3.SA,GRUPO SOMA,Consumo Ciclico / Comercio,1
LREN3.SA,LOJAS RENNER,Consumo Ciclico / Comercio,1
MGLU3.SA,MAGAZ LUIZA,Consumo Ciclico / Comercio,1
PETZ3.SA,PETZ,Consumo Ciclico / Comercio,0
ALPA4.SA,ALPARGATAS,Consumo Ciclico / Tecid Vest Calc,0
CYRE3.SA,CYRELA REALT,Consumo Ciclico/Constr Civil,0
EZTC3.SA,EZTEC,Consumo Ciclico/Constr Civil,1
MRVE3.SA,MRV,Consumo Ciclico/Constr Civil,1
CVCB3.SA,CVC BRASIL,Consumo Ciclico/Viagens e Lazer,0
COGN3.SA,COGNA ON,Diversos,1
RENT3.SA,LOCALIZA,Diversos,1
VAMO3.SA,VAMOS,Diversos,1
YDUQ3.SA,YDUQS PART,Diversos,1
ALSO3.SA,ALIANSCSONAE,Financ e Outros / Explor Imoveis,0
IGTI11.SA,IGUATEMI S.A,Financ e Outros / Explor Imoveis,1
MULT3.SA,MULTIPLAN,Financ e Outros / Explor Imoveis,1
BBDC3.SA,BRADESCO,Financ e Outros / Interms Financs,1
BBDC4.SA,BRADESCO,Financ e Outros / Interms Financs,1
BBAS3.SA,BRASIL,Financ e Outros / Interms Financs,1
BPAC11.SA,BTGP BANCO,Financ e Outros / Interms Financs,1
