Codigo,Data,Margem de Lucro,Código
,2022-12-31,,ASAI3.SA
,2022-12-31,,CRFB3.SA
,2022-12-31,,PCAR3.SA
,2022-12-31,,ARZZ3.SA
,2022-12-31,,BHIA3.SA
,2022-12-31,,SOMA3.SA
,2022-12-31,,LREN3.SA
,2022-12-31,,MGLU3.SA
,2022-12-31,,PETZ3.SA
,2022-12-31,,CYRE3.SA
,2022-12-31,,EZTC3.SA
,2022-12-31,,MRVE3.SA
,2022-12-31,,ALSO3.SA
,2022-12-31,,IGTI11.SA
,2022-12-31,,MULT3.SA
,2022-12-31,,BRAP4.SA
,2022-12-31,,CMIN3.SA
,2022-12-31,,VALE3.SA
,2022-12-31,,GGBR4.SA
,2022-12-31,,GOAU4.SA
,2022-12-31,,CSNA3.SA
,2022-12-31,,USIM5.SA
,2022-12-31,,RRRP3.SA
,2022-12-31,,CSAN3.SA
,2022-12-31,,PETR3.SA
,2022-12-31,,PETR4.SA
,2022-12-31,,RECV3.SA
,2022-12-31,,PRIO3.SA
,2022-12-31,,UGPA3.SA
,2022-12-31,,VBBR3.SA
,2022-12-31,,FLRY3.SA
,2022-12-31,,HAPV3.SA
,2022-12-31,,RDOR3.SA
,2022-12-31,,LWSA3.SA
,2022-12-31,,TOTS3.SA
,2022-12-31,,CMIG4.SA
,2022-12-31,,CPLE6.SA
,2022-12-31,,CPFE3.SA
,2022-12-31,,ELET3.SA
,2022-12-31,,ELET6.SA
,2022-12-31,,ENGI11.SA
,2022-12-31,,ENEV3.SA
,2022-12-31,,EGIE3.SA
,2022-12-31,,EQTL3.SA
,2022-12-31,,TAEE11.SA
