Codigo;Acao;Tipo;Qtde. Teorica;Part. (%);
ABEV3;AMBEV S/A;ON;4.871.068.443;4,019;
ARZZ3;AREZZO CO;ON      NM;164.621.338;0,660;
ASAI3;ASSAI;ON      NM;1.991.209.829;1,435;
AURE3;AUREN;ON      NM;855.854.704;0,743;
AZUL4;AZUL;PN      N2;144.895.616;0,131;
B3SA3;B3;ON  EDJ NM;6.288.189.224;4,876;
BBDC3;BRADESCO;ON      N1;2.083.905.218;1,639;
BBDC4;BRADESCO;PN      N1;5.662.416.594;5,039;
BBAS3;BRASIL;ON      NM;1.584.807.254;4,653;
BRKM5;BRASKEM;PNA     N1;234.613.641;0,304;
BRFS3;BRF SA;ON      NM;2.301.500.419;1,398;
BPAC11;BTGP BANCO;UNT     N2;1.390.218.475;2,712;
BHIA3;CASAS BAHIA;ON      NM;7.211.909.038;0,308;
CBAV3;CBA;ON      NM;153.413.233;0,045;
CCRO3;CCR SA;ON      NM;1.542.729.043;1,221;
CMIG4;CEMIG;PN      N1;1.899.789.210;1,540;
CIEL3;CIELO;ON      NM;663.351.449;0,138;
COGN3;COGNA ON;ON      NM;4.462.765.622;0,741;
CPLE6;COPEL;PNB     N2;2.078.021.000;1,176;
CSAN3;COSAN;ON      NM;1.412.919.875;1,597;
CPFE3;CPFL ENERGIA;ON      NM;344.994.804;0,774;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,327;
DXCO3;DEXCO;ON      NM;532.037.988;0,261;
ECOR3;ECORODOVIAS;ON      NM;1.293.739.167;0,595;
ELET3;ELETROBRAS;ON      N1;1.980.568.384;4,392;
ELET6;ELETROBRAS;PNB     N1;270.230.714;0,647;
EMBR3;EMBRAER;ON      NM;1.123.848.717;1,240;
ENGI11;ENERGISA;UNT     N2;402.138.048;1,237;
ENEV3;ENEVA;ON      NM;260.864.196;0,192;
EGIE3;ENGIE BRASIL;ON      NM;140.105.156;0,378;
EZTC3;EZTEC;ON      NM;426.120.246;0,539;
FLRY3;FLEURY;ON      NM;853.649.970;0,799;
GGBR4;GERDAU;PN      N1;1.118.525.506;1,706;
GOLL4;GOL;PN      N2;83.677.367;0,034;
NTCO3;GRUPO NATURA;ON      NM;1.336.805.452;1,322;
SOMA3;GRUPO SOMA;ON      NM;167.200.779;0,070;
HYPE3;HYPERA;ON      NM;262.379.553;0,612;
IGTI11;IGUATEMI S.A;UNT     N1;155.162.988;0,199;
ITSA4;ITAUSA;PN  EJ  N1;913.680.984;0,517;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.085.386.612;8,609;
JBSS3;JBS;ON      NM;1.415.989.441;1,622;
KLBN11;KLABIN S/A;UNT     N2;701.600.214;1,060;
RENT3;LOCALIZA;ON      NM;891.589.060;3,260;
LREN3;LOJAS RENNER;ON      NM;1.411.455.802;1,233;
MDIA3;M.DIASBRANCO;ON  EJ  NM;34.886.792;0,081;
MGLU3;MAGAZ LUIZA;ON      NM;5.363.028.527;0,755;
MRFG3;MARFRIG;ON      NM;1.256.018.198;0,556;
BEEF3;MINERVA;ON      NM;981.794.531;0,509;
MOVI3;MOVIDA;ON      NM;107.350.585;0,079;
MRVE3;MRV;ON      NM;265.319.728;0,178;
MULT3;MULTIPLAN;ON      N2;541.148.031;0,848;
PCAR3;P.ACUCAR-CBD;ON      NM;104.727.139;0,023;
PETR3;PETROBRAS;ON      N2;1.308.789.165;3,057;
PETR4;PETROBRAS;PN      N2;1.614.506.055;3,455;
PSSA3;PORTO SEGURO;ON      NM;471.536.390;0,802;
RADL3;RAIADROGASIL;ON      NM;1.541.610.200;2,659;
RAIZ4;RAIZEN;PN      N2;2.919.253.587;0,692;
RDOR3;REDE D OR;ON      NM;854.293.120;1,419;
RAIL3;RUMO S.A.;ON      NM;1.128.634.775;1,663;
SANB11;SANTANDER BR;UNT;629.305.707;1,032;
STBP3;SANTOS BRP;ON      NM;1.513.967.339;0,850;
SMTO3;SAO MARTINHO;ON      NM;56.815.179;0,138;
CSNA3;SID NACIONAL;ON;450.723.412;0,343;
SLCE3;SLC AGRICOLA;ON      NM;53.137.811;0,132;
SUZB3;SUZANO S.A.;ON      NM;548.298.181;1,909;
TAEE11;TAESA;UNT     N2;305.443.214;0,671;
VIVT3;TELEF BRASIL;ON  EJ;281.440.781;0,773;
TIMS3;TIM;ON  EJ  NM;1.326.749.132;1,258;
TOTS3;TOTVS;ON      NM;787.768.841;1,309;
TRPL4;TRAN PAULIST;PN      N1;395.799.340;0,595;
UGPA3;ULTRAPAR;ON      NM;1.439.287.965;1,686;
USIM5;USIMINAS;PNA     N1;515.117.391;0,214;
VAMO3;VAMOS;ON      NM;133.485.392;0,081;
VBBR3;VIBRA;ON  EJ  NM;1.517.307.599;1,787;
WEGE3;WEG;ON  EJ  NM;1.679.294.072;3,648;
YDUQ3;YDUQS PART;ON      NM;657.299.022;0,798;
