Setor;Codigo;Acao;Tipo;Qtde. Teorica;Part. (%);Part. (%)Acum.;
Bens Indls / Maqs e Equips;WEGE3;WEG;ON  EJ  NM;1.481.593.024;2,522;2,522;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.705;0,635;0,635;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;327.593.725;0,232;2,320;
Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;995.335.937;0,618;2,320;
Bens Indls/Transporte;GOLL4;GOL;PN      N2;198.184.909;0,063;2,320;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,407;2,320;
Cons N  Basico / Alimentos Processados;BRFS3;BRF SA;ON      NM;1.677.525.446;0,799;2,297;
Cons N  Basico / Alimentos Processados;JBSS3;JBS;ON      NM;1.134.986.472;1,019;2,297;
Cons N  Basico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;292.587.273;0,101;2,297;
Cons N  Basico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.036.182;0,106;2,297;
Cons N  Basico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,272;2,297;
Cons N Ciclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.245.879;2,841;2,841;
Cons N Ciclico / Comercio Distr.;ASAI3;ASSAI;ON      NM;1.349.645.897;0,762;1,030;
Cons N Ciclico / Comercio Distr.;CRFB3;CARREFOUR BR;ON      NM;531.372.207;0,240;1,030;
Cons N Ciclico / Comercio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,028;1,030;
Cons N Ciclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,650;0,650;
Cons N Ciclico/Agropecuaria;RAIZ4;RAIZEN;PN      N2;1.193.671.389;0,222;0,420;
Cons N Ciclico/Agropecuaria;SLCE3;SLC AGRICOLA;ON      NM;101.824.365;0,198;0,420;
